Town,"Culmulative cases, 11/11","Culmulative cases, 10/21",Change since Oct. 21
Newport City,24,0,null
Addison,10,0,null
Canaan,10,0,null
Washington,10,0,null
Barre Town,9,0,null
Berlin,9,0,null
North Hero,9,0,null
Derby,8,0,null
East Montpelier,8,0,null
GrandIsle,8,0,null
Plainfield,8,0,null
St.George,8,0,null
St.Johnsbury,8,0,null
Barton,7,0,null
Londonderry,7,0,null
Ludlow,7,0,null
Middlesex,7,0,null
Chelsea,6,0,null
Clarendon,6,0,null
Dorset,6,0,null
Pownal,6,0,null
Richmond,6,0,null
Williamstown,24,7,242.8571429
Barre City,99,29,241.3793103
Northfield,20,7,185.7142857
Colchester,173,77,124.6753247
Lyndon,27,15,80
Cambridge,16,9,77.77777778
Springfield,12,7,71.42857143
Charlotte,18,11,63.63636364
Fairfax,13,8,62.5
Montpelier,30,19,57.89473684
Waterbury,23,15,53.33333333
Putney,20,14,42.85714286
St.Albans City,38,27,40.74074074
Bristol,14,10,40
Hartland,11,8,37.5
Windsor,11,8,37.5
Vergennes,19,14,35.71428571
Wolcott,12,9,33.33333333
Shaftsbury,8,6,33.33333333
Milton,50,38,31.57894737
Rutland City,40,31,29.03225806
Hartford,36,28,28.57142857
Manchester,14,11,27.27272727
South Burlington,103,81,27.16049383
Fairfield,10,8,25
Randolph,10,8,25
Ferrisburgh,11,9,22.22222222
Middlebury,11,9,22.22222222
Bennington,53,44,20.45454545
Williston,53,44,20.45454545
Essex,134,112,19.64285714
Shelburne,20,17,17.64705882
Morristown,14,12,16.66666667
FairHaven,7,6,16.66666667
NewHaven,7,6,16.66666667
Poultney,7,6,16.66666667
Brattleboro,53,46,15.2173913
Hinesburg,16,14,14.28571429
Wilmington,16,14,14.28571429
Orwell,8,7,14.28571429
Stowe,26,23,13.04347826
Norwich,9,8,12.5
Jericho,21,19,10.52631579
Burlington,361,328,10.06097561
Whitingham,11,10,10
Vernon,13,12,8.333333333
Swanton,16,15,6.666666667
Winooski,107,103,3.883495146
St.AlbansTown,45,45,0
Shoreham,30,30,0
Killington,20,20,0
Woodstock,14,14,0
Enosburgh,9,9,0
Rockingham,9,9,0
Greensboro,8,8,0
Westford,8,8,0
Castleton,7,7,0
Chester,7,7,0
Royalton,6,6,0
Waterford,6,6,0